iteration,mode,arm,stage,hypothesis_id,trigger_id,trigger_type,test_id,status,test_status,test_path,test_sha256,same_test,hypothesis_sha256,mechanism_match,oracle_status,buggy_exit,fixed_exit,buggy_state,fixed_state,buggy_failure_type,fixed_failure_type,buggy_exception,fixed_exception,classification,verified_f2p,failure_category,activation,planner_attempt_index,planner_attempt_status,repair_attempts,llm_calls,prompt_tokens,completion_tokens,wall_clock_seconds,buggy_log,fixed_log,error
2,conditional,C2,TEST,conditional-h05-080bc02016,plan-3,PLAN,conditional-h05-080bc02016-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C2/conditional-h05-080bc02016-plan-3.py,61904839b43f1e60ea9496d19c08a905959b2dc047e53892f77d6989856f8619,True,080bc02016cd546877b681eb6e3976c601936656104c3a4d7860f5d665e770c1,yes,SUPPORTED_ORACLE,1,0,MECHANICAL_FAILURE,PASS,MECHANICAL_FAILURE,,AssertionError,,MECHANICAL_FAILURE,False,MECHANICAL_FAILURE,NOT_ACTIVATED,,,0,1,16193,515,2.827,artifacts/execution_logs/experiment4/iteration2/iteration2_C2_conditional-h05-080bc02016_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C2_conditional-h05-080bc02016_plan-3_fixed.log,
2,conditional,C2,PLANNER,conditional-h05-080bc02016,planner,PLAN,,VALID,NOT_EXECUTED,,,,080bc02016cd546877b681eb6e3976c601936656104c3a4d7860f5d665e770c1,yes,UNSUPPORTED_ORACLE,,,,,,,,,PLAN_VALID,,VALID_PLAN,,0,VALID,0,1,16557,2065,7.859,,,
3,conditional,C1,TEST,conditional-h01-e0c8bd3ab2,direct,DIRECT,conditional-h01-e0c8bd3ab2-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1/conditional-h01-e0c8bd3ab2-direct.py,a385924107f4360c21294a6c510da512abcff48fdc8d88762ff14e36e7e9bc8a,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,575,559,3.348,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_conditional-h01-e0c8bd3ab2_direct_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_conditional-h01-e0c8bd3ab2_direct_fixed.log,
3,conditional,C1,TEST,conditional-h02-c19fcca1ca,direct,DIRECT,conditional-h02-c19fcca1ca-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1/conditional-h02-c19fcca1ca-direct.py,4f6c3e913b2c4f8b4622b889ca1a35ae3707a4e3d90fbe831a3709fe86dcd55f,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,FAIL,FAIL,TARGET_EXCEPTION,TARGET_EXCEPTION,UnicodeEncodeError,UnicodeEncodeError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,,,0,1,525,381,1.998,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_conditional-h02-c19fcca1ca_direct_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_conditional-h02-c19fcca1ca_direct_fixed.log,
3,conditional,C1,TEST,conditional-h03-768b90f0a5,direct,DIRECT,conditional-h03-768b90f0a5-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1/conditional-h03-768b90f0a5-direct.py,f33c870c9b82e1b9853782166c4a1b05cc9db1a36b3077a1c2ae354215e2fe3b,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,641,585,2.471,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_conditional-h03-768b90f0a5_direct_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_conditional-h03-768b90f0a5_direct_fixed.log,
3,conditional,C1,TEST,conditional-h04-a9ae48b9d8,direct,DIRECT,conditional-h04-a9ae48b9d8-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1/conditional-h04-a9ae48b9d8-direct.py,680aeac13109fb46064e2d47560613b9b066d3b03ce361a7c36644e824ee1284,True,a9ae48b9d893c88b17406f0c9ec663488f2c39df8465b94da1c40f0ad327fa14,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,605,585,3.349,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_conditional-h04-a9ae48b9d8_direct_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_conditional-h04-a9ae48b9d8_direct_fixed.log,
3,conditional,C1,TEST,conditional-h05-080bc02016,direct,DIRECT,conditional-h05-080bc02016-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C1/conditional-h05-080bc02016-direct.py,2e54d747f645e92a1ac872f88ea9601105c8c92c65647db137e431364c9916b3,True,080bc02016cd546877b681eb6e3976c601936656104c3a4d7860f5d665e770c1,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,583,635,2.839,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_conditional-h05-080bc02016_direct_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C1_conditional-h05-080bc02016_direct_fixed.log,
3,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-1,PLAN,,MODEL_ERROR,MODEL_OUTPUT_FAILURE,,,,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,UNSUPPORTED_ORACLE,,,,,,,,,MODEL_ERROR,,MODEL_OUTPUT_FAILURE,,,,0,1,0,0,3.373,,,test output is empty or contains forbidden construction
3,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-2,PLAN,conditional-h01-e0c8bd3ab2-plan-2,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C2/conditional-h01-e0c8bd3ab2-plan-2.py,2b645f8ac9a9a9e794e50832dc2c018a79cc75a72edf93b30cb6eb48c1d3903c,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,15995,442,3.146,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h01-e0c8bd3ab2_plan-2_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h01-e0c8bd3ab2_plan-2_fixed.log,
3,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-3,PLAN,conditional-h01-e0c8bd3ab2-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration3/C2/conditional-h01-e0c8bd3ab2-plan-3.py,74d528b1a1852b8b03dbc20cb1f081c816243be0ac78baf5a455e661959383a0,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,15991,467,2.647,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h01-e0c8bd3ab2_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration3/iteration3_C2_conditional-h01-e0c8bd3ab2_plan-3_fixed.log,
